9.256808317560121395e+02,2.067171978167979978e+05
9.256089249261954137e+02,2.071679112258907116e+05
9.255370153399724131e+02,2.076185821368243196e+05
9.254651029967112663e+02,2.080692105478004669e+05
9.253931878957798745e+02,2.085197964571346238e+05
9.253212700365457977e+02,2.089703398632564640e+05
9.252493494183761413e+02,2.094208407647083804e+05
9.251774260406381245e+02,2.098712991601456888e+05
9.251054999026985115e+02,2.103217150483361911e+05
9.250335710039240666e+02,2.107720884281590988e+05
9.249616393436808721e+02,2.112224192986049748e+05
9.248897049213351238e+02,2.116727076587752090e+05
9.248177677362529039e+02,2.121229535078813788e+05
9.247458277877993851e+02,2.125731568452451611e+05
9.246738850753403085e+02,2.130233176702972560e+05
9.246019395982406195e+02,2.134734359825772408e+05
9.245299913558652634e+02,2.139235117817333958e+05
9.244580403475788444e+02,2.143735450675215106e+05
9.243860865727458531e+02,2.148235358398052631e+05
9.243141300307304391e+02,2.152734840985549672e+05
9.242421707208964108e+02,2.157233898438475153e+05
9.241702086426075766e+02,2.161732530758662033e+05
9.240982437952270629e+02,2.166230737948995375e+05
9.240262761781185645e+02,2.170728520013413508e+05
9.239543057906446393e+02,2.175225876956902794e+05
9.238823326321679588e+02,2.179722808785490342e+05
9.238103567020511946e+02,2.184219315506242274e+05
9.237383779996563362e+02,2.188715397127258766e+05
9.236663965243454868e+02,2.193211053657669690e+05
9.235944122754802947e+02,2.197706285107626754e+05
9.235224252524221811e+02,2.202201091488306411e+05
9.234504354545324532e+02,2.206695472811897926e+05
9.233784428811723046e+02,2.211189429091603088e+05
9.233064475317020197e+02,2.215682960341630678e+05
9.232344494054823372e+02,2.220176066577195888e+05
9.231624485018735413e+02,2.224668747814508388e+05
9.230904448202354615e+02,2.229161004070773197e+05
9.230184383599281546e+02,2.233652835364188941e+05
9.229464291203107678e+02,2.238144241713936499e+05
9.228744171007426758e+02,2.242635223140182206e+05
9.228024023005830259e+02,2.247125779664066795e+05
9.227303847191903969e+02,2.251615911307706265e+05
9.226583643559235952e+02,2.256105618094186939e+05
9.225863412101405174e+02,2.260594900047560222e+05
9.225143152811992877e+02,2.265083757192835910e+05
9.224422865684580302e+02,2.269572189555986261e+05
9.223702550712737320e+02,2.274060197163932316e+05
9.222982207890042901e+02,2.278547780044547399e+05
9.222261837210062367e+02,2.283034938226648082e+05
9.221541438666365593e+02,2.287521671739992453e+05
9.220821012252517903e+02,2.292007980615277193e+05
9.220100557962082348e+02,2.296493864884131472e+05
9.219380075788619706e+02,2.300979324579111999e+05
9.218659565725688481e+02,2.305464359733705642e+05
9.217939027766842628e+02,2.309948970382315165e+05
9.217218461905634967e+02,2.314433156560266798e+05
9.216497868135617182e+02,2.318916918303796556e+05
9.215777246450337543e+02,2.323400255650051113e+05
9.215056596843340913e+02,2.327883168637086637e+05
9.214335919308171015e+02,2.332365657303857442e+05
9.213615213838368163e+02,2.336847721690219769e+05
9.212894480427469261e+02,2.341329361836923927e+05
9.212173719069013487e+02,2.345810577785609930e+05
9.211452929756529784e+02,2.350291369578808662e+05
9.210732112483551646e+02,2.354771737259932561e+05
9.210011267243605744e+02,2.359251680873272999e+05
9.209290394030218749e+02,2.363731200464002322e+05
9.208569492836911650e+02,2.368210296078161336e+05
9.207848563657207706e+02,2.372688967762663669e+05
9.207127606484624494e+02,2.377167215565285587e+05
9.206406621312677316e+02,2.381645039534666575e+05
9.205685608134878066e+02,2.386122439720306429e+05
9.204964566944738635e+02,2.390599416172557394e+05
9.204243497735767505e+02,2.395075968942625623e+05
9.203522400501469747e+02,2.399552098082563025e+05
9.202801275235349294e+02,2.404027803645266395e+05
9.202080121930905534e+02,2.408503085684475373e+05
9.201358940581637853e+02,2.412977944254765462e+05
9.200637731181038816e+02,2.417452379411545699e+05
9.199916493722605537e+02,2.421926391211058653e+05
9.199195228199826033e+02,2.426399979710369953e+05
9.198473934606188323e+02,2.430873144967373519e+05
9.197752612935179286e+02,2.435345887040781381e+05
9.197031263180281258e+02,2.439818205990121351e+05
9.196309885334974297e+02,2.444290101875739347e+05
9.195588479392738464e+02,2.448761574758786010e+05
9.194867045347045860e+02,2.453232624701225432e+05
9.194145583191370861e+02,2.457703251765821478e+05
9.193424092919184432e+02,2.462173456016139244e+05
9.192702574523952990e+02,2.466643237516540103e+05
9.191981027999144089e+02,2.471112596332183748e+05
9.191259453338218464e+02,2.475581532529015676e+05
9.190537850534637982e+02,2.480050046173771843e+05
9.189816219581857695e+02,2.484518137333973136e+05
9.189094560473336060e+02,2.488985806077920133e+05
9.188372873202522442e+02,2.493453052474691940e+05
9.187651157762870753e+02,2.497919876594140660e+05
9.186929414147824673e+02,2.502386278506896342e+05
9.186207642350832430e+02,2.506852258284349518e+05
9.185485842365335429e+02,2.511317815998664591e+05
9.184764014184772805e+02,2.515782951722761791e+05
9.184042157802581414e+02,2.520247665530322702e+05
9.183320273212198117e+02,2.524711957495787938e+05
9.182598360407055225e+02,2.529175827694348700e+05
9.181876419380580501e+02,2.533639276201945322e+05
9.181154450126201709e+02,2.538102303095270472e+05
9.180432452637344340e+02,2.542564908451754600e+05
9.179710426907429337e+02,2.547027092349575250e+05
9.178988372929877642e+02,2.551488854867645132e+05
9.178266290698105649e+02,2.555950196085611242e+05
9.177544180205527482e+02,2.560411116083856905e+05
9.176822041445554987e+02,2.564871614943490422e+05
9.176099874411598876e+02,2.569331692746350309e+05
9.175377679097064174e+02,2.573791349574997439e+05
9.174655455495355909e+02,2.578250585512711841e+05
9.173933203599874560e+02,2.582709400643494155e+05
